"host","source","subdomain_listed","api_host_listed","api_row_count","valid_hostname_syntax","dns_resolves","address_count","sample_addresses","verification_note"
"3s-kz.vpn.console3.com","Subdomains.csv","True","False","0","True","True","1","185.102.74.214",""
"ab-api-cf.global.aws.indriverapp.com","api_methods.csv","False","True","2","True","True","4","18.165.140.107;18.165.140.13;18.165.140.83",""
"ab-platform-api.eu-east-1.indriverapp.com","api_methods.csv","False","True",,"True","True","4","3.174.113.26;3.174.113.3;3.174.113.74",""
"admin-jwt-auth.console3.com","Subdomains.csv","True","False","0","True","True","2","188.42.196.15;188.42.196.189",""
"alerter.console3.com","Subdomains.csv","True","False","0","True","True","2","188.42.196.187;188.42.196.188",""
"amga.console3.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"analytics.indrive.com","Subdomains.csv","True","False","0","True","True","1","34.149.86.174",""
"api.k8s.console3.com","Subdomains.csv","True","False","0","True","True","1","52.52.133.239",""
"api-ext.fleet.ib.console3.com","Subdomains.csv","True","False","0","True","True","3","18.158.145.142;18.158.65.165;63.179.218.231",""
"apple.indriver.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"ath-cf.euce1.indriverapp.com","api_methods.csv","False","True","5","True","True","4","52.85.154.121;52.85.154.27;52.85.154.53",""
"auth.eu-east-1.indriverapp.com","api_methods.csv","False","True","2","True","True","4","18.165.122.122;18.165.122.72;18.165.122.77",""
"auth-console.test.ams5.baremetal.indrive.tech","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"auth-ext.indrive.tech","Subdomains.csv","True","False","0","True","True","2","18.196.108.57;3.64.87.99",""
"auth-ext-test.indrive.tech","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"avocado-ds.ib.console3.com","Subdomains.csv","True","False","0","True","True","3","18.156.23.145;18.197.61.66;3.120.47.177",""
"avocado-hec.ib.console3.com","Subdomains.csv","True","False","0","True","True","3","3.77.51.247;63.181.207.128;63.181.255.231",""
"avocado-hec-aws.ib.console3.com","Subdomains.csv","True","False","0","True","True","3","18.194.214.6;3.126.79.148;3.77.107.231",""
"avocado-test-hec.sec.console3.com","Subdomains.csv","True","False","0","True","True","2","52.28.128.121;52.28.28.191",""
"baf-cf.euce1.indriverapp.com","api_methods.csv","False","True","9","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
"balance-api.eu-east-1.indriverapp.com","api_methods.csv","False","True","6","True","True","4","52.85.154.21;52.85.154.4;52.85.154.74",""
"bdu-cf.euce1.indriverapp.com","api_methods.csv","False","True","8","True","True","4","3.174.113.25;3.174.113.29;3.174.113.48",""
"bdu-test-cf.indrive.dev","Subdomains.csv","True","False","0","True","True","4","52.85.154.103;52.85.154.117;52.85.154.27",""
"beginit.indrive.com","Subdomains.csv","True","False","0","True","True","1","198.202.211.1",""
"birthday.indrive.com","Subdomains.csv","True","False","0","True","False","0","","Exception calling ""GetHostAddresses"" with ""1"" argument(s): ""No such host is known"""
