lambda,provenance,n,n_positive,auc,baseline_valid_auc,oracle_auc,distance_to_oracle_auc,oracle_auc_leakage_proximity,temporal_passed,forbidden_passed,audit_pass_candidate,output_classes
0.0,undeclared,252,77,0.5671243042671614,0.5671243042671614,1.0,0.4328756957328386,0.0,True,True,False,null_or_destroyed_signal;oracle_label_leakage_sentinel
0.0,declared,252,77,0.5671243042671614,0.5671243042671614,1.0,0.4328756957328386,0.0,True,True,False,null_or_destroyed_signal;oracle_label_leakage_sentinel
0.005,undeclared,252,77,0.5720222634508348,0.5671243042671614,1.0,0.42797773654916516,0.011314932281844556,True,True,False,leakage_contaminated_candidate;null_or_destroyed_signal;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift
0.005,declared,252,77,0.5720222634508348,0.5671243042671614,1.0,0.42797773654916516,0.011314932281844556,False,False,False,forbidden_feature_contamination;leakage_contaminated_candidate;null_or_destroyed_signal;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete
0.01,undeclared,252,77,0.5775881261595547,0.5671243042671614,1.0,0.4224118738404453,0.02417280987484984,True,True,False,leakage_contaminated_candidate;null_or_destroyed_signal;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift
0.01,declared,252,77,0.5775881261595547,0.5671243042671614,1.0,0.4224118738404453,0.02417280987484984,False,False,False,forbidden_feature_contamination;leakage_contaminated_candidate;null_or_destroyed_signal;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete
0.02,undeclared,252,77,0.5885714285714285,0.5671243042671614,1.0,0.4114285714285715,0.049545688325046994,True,True,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;threshold_fragile_claim
0.02,declared,252,77,0.5885714285714285,0.5671243042671614,1.0,0.4114285714285715,0.049545688325046994,False,False,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;threshold_fragile_claim
0.05,undeclared,252,77,0.6212987012987014,0.5671243042671614,1.0,0.37870129870129865,0.1251500085719185,True,True,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
0.05,declared,252,77,0.6212987012987014,0.5671243042671614,1.0,0.37870129870129865,0.1251500085719185,False,False,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
0.1,undeclared,252,77,0.6742857142857143,0.5671243042671614,1.0,0.32571428571428573,0.2475570032573289,True,True,False,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;valid_early_hidden_state_signal
0.1,declared,252,77,0.6742857142857143,0.5671243042671614,1.0,0.32571428571428573,0.2475570032573289,False,False,False,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
