monitor_id,monitor_type,lambda,score_column,auc,delta_auc_vs_valid,auc_delta_alert_0p01,audit_pass,temporal_passed,forbidden_passed,matched_delta,oracle_proximity,oracle_proximity_alert,valid_score_mi_nats,candidate_score_mi_nats,incremental_mi_nats,incremental_mi_ci_low,incremental_mi_ci_high,incremental_mi_p_value,incremental_mi_significant,output_classes
valid_hgb,valid current-cycle degradation monitor,0.0,valid_score,0.9017201967592593,0.0,False,True,True,True,0.019885316026255623,0.0,False,0.30683790213114104,0.30683790213114104,0.0,0.0,0.0,1.0,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
rf_valid,random forest current-cycle monitor,0.0,rf_valid_score,0.9068330439814815,0.005112847222222161,False,True,True,True,0.02660594439117929,0.0,False,,,,,,,,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
future_rul_leaky,future/RUL contaminated comparator,,future_rul_leaky_score,1.0,0.0982798032407407,True,False,False,False,0.0,1.0,True,,,,,,,,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;visible_state_confounding
oracle_mix_0p0,low-dose oracle RUL mixture,0.0,oracle_mix_l0p0,0.9017201967592593,0.0,False,True,True,True,0.019885316026255623,0.0,False,0.30683790213114104,0.30683790213114104,0.0,0.0,0.0,1.0,False,audit_pass_candidate;oracle_label_leakage_sentinel;valid_early_hidden_state_signal
oracle_mix_0p001,low-dose oracle RUL mixture,0.001,oracle_mix_l0p001,0.9021245659722222,0.0004043692129629406,False,False,False,False,0.019885316026255623,0.004114469093638907,False,0.30683790213114104,0.3080613796993056,0.0012234775681645438,-0.00014467450786510017,0.0035490492099590825,0.09634551495016612,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal
oracle_mix_0p002,low-dose oracle RUL mixture,0.002,oracle_mix_l0p002,0.9025130208333333,0.0007928240740739945,False,False,False,False,0.019885316026255623,0.008067009171069839,False,0.30683790213114104,0.30913934434352686,0.002301442212385818,7.889263530758279e-05,0.004933986409116367,0.016611295681063124,True,forbidden_feature_contamination;oracle_label_leakage_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal
oracle_mix_0p005,low-dose oracle RUL mixture,0.005,oracle_mix_l0p005,0.9036725983796297,0.0019524016203703587,False,False,False,False,0.019885316026255623,0.019865746124744114,True,0.30683790213114104,0.31252274488592163,0.005684842754780595,0.0014641420713511545,0.007456522197109017,0.0033222591362126247,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
oracle_mix_0p01,low-dose oracle RUL mixture,0.01,oracle_mix_l0p01,0.9055519386574075,0.0038317418981481666,False,False,False,False,0.019885316026255623,0.03898809085689912,True,0.30683790213114104,0.3155987105394809,0.00876080840833987,0.0046189949933500354,0.012844704205688487,0.0033222591362126247,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
oracle_mix_0p02,low-dose oracle RUL mixture,0.02,oracle_mix_l0p02,0.9091124131944445,0.007392216435185173,False,False,False,False,0.02660594439117929,0.07521602802844052,True,0.30683790213114104,0.32314910540628583,0.016311203275144792,0.011056048771626074,0.021265340964933085,0.0033222591362126247,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
oracle_mix_0p05,low-dose oracle RUL mixture,0.05,oracle_mix_l0p05,0.9194429976851852,0.01772280092592593,True,False,False,False,0.02660594439117929,0.18033004077667056,True,0.30683790213114104,0.345763790788165,0.038925888657023955,0.03281988895611044,0.045532531964051035,0.0033222591362126247,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
oracle_mix_0p1,low-dose oracle RUL mixture,0.1,oracle_mix_l0p1,0.9352076099537037,0.03348741319444437,True,False,False,False,0.02660594439117929,0.3407354521499751,True,0.30683790213114104,0.3833219273871974,0.07648402525605635,0.06707403236572591,0.08231530787524761,0.0033222591362126247,True,forbidden_feature_contamination;leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;temporal_isolation_incomplete;valid_early_hidden_state_signal
