monitor,monitor_id,expected,observed,matches_expectation,auc,inverted_auc,audit_pass,temporal_passed,forbidden_passed,matched_delta,threshold_fragile,output_classes,key_reasons,left_out_group,n_rows,n_positive,n_negative
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.7333333333333333,0.2666666666666667,True,True,True,0.18181818181818182,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",HCNP,11,5,6
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.9,0.09999999999999998,False,True,False,0.18181818181818182,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",HCNP,11,5,6
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,0.36363636363636365,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",HCNP,11,5,6
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,FAIL,False,0.5238095238095238,0.47619047619047616,False,True,True,0.5,True,null_or_destroyed_signal;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;threshold_fragile_claim,"threshold fragile, protocol sentinel present, oracle sentinel present",HCRP,10,3,7
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.7619047619047619,0.23809523809523814,False,True,False,0.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;visible_state_confounding,"forbidden, protocol sentinel present, oracle sentinel present",HCRP,10,3,7
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,0.5,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",HCRP,10,3,7
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.7619047619047619,0.23809523809523814,True,True,True,0.3,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",LCNP,10,7,3
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.7619047619047619,0.23809523809523814,False,True,False,0.4,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",LCNP,10,7,3
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,0.7,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",LCNP,10,7,3
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.7333333333333333,0.2666666666666667,True,True,True,0.3181818181818182,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",LCRP,11,6,5
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.9,0.09999999999999998,False,True,False,0.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;visible_state_confounding,"forbidden, protocol sentinel present, oracle sentinel present",LCRP,11,6,5
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,0.25,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",LCRP,11,6,5
