mode,lambda,leakage_percent,score_column,ground_truth_contract,lamp_decision,detected,auc,delta_auc_vs_clean,temporal_passed,forbidden_passed,oracle_proximity,oracle_proximity_alert,output_classes
geometry_only,0.0,0.0,oracle_mix_lambda_0p00000_score,valid,valid,False,0.9141279107796965,0.0,True,True,0.0,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,1e-05,0.001,oracle_mix_lambda_0p00001_score,invalid,valid,False,0.9141319989534276,4.088173731098266e-06,True,True,4.7607712450201584e-05,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,5e-05,0.005,oracle_mix_lambda_0p00005_score,invalid,valid,False,0.9141503957352172,2.2484955520707395e-05,True,True,0.00026184241847223004,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.0001,0.01,oracle_mix_lambda_0p00010_score,invalid,valid,False,0.9141831011250654,5.519034536893841e-05,True,True,0.0006427041180673783,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.0005,0.05,oracle_mix_lambda_0p00050_score,invalid,invalid,True,0.9143302753793825,0.00020236459968603349,True,True,0.002356581766246192,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.001,0.1,oracle_mix_lambda_0p00100_score,invalid,invalid,True,0.9145081109366824,0.00038020015698592147,True,True,0.004427517257796346,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.002,0.2,oracle_mix_lambda_0p00200_score,invalid,invalid,True,0.9148310766614338,0.0007031658817373554,True,True,0.008188526541300213,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.005,0.5,oracle_mix_lambda_0p00500_score,invalid,invalid,True,0.915910354526426,0.001782443746729534,True,True,0.02075696262794657,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.01,1.0,oracle_mix_lambda_0p01000_score,invalid,invalid,True,0.9176846219256933,0.0035567111459968714,True,True,0.04141870983099274,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.02,2.0,oracle_mix_lambda_0p02000_score,invalid,invalid,True,0.9210410125588697,0.0069131017791732585,True,True,0.08050464175196438,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.05,5.0,oracle_mix_lambda_0p05000_score,invalid,invalid,True,0.9310876995028781,0.0169597887231816,True,True,0.1975005950964058,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
geometry_only,0.1,10.0,oracle_mix_lambda_0p10000_score,invalid,invalid,True,0.9469273286237572,0.03279941784406071,True,True,0.38195667698167096,True,leakage_contaminated_candidate;oracle_label_leakage_sentinel;oracle_leakage_proximity_shift;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal
