well_id,context_completeness,missing_context_fields,donor_id,batch_id,protocol,plate_id,passage,medium,stimulation,batch_protocol_pair,batch_protocol_entanglement_score
W0000,1.0,none,D1,B1,baseline,P1,25,fatty_acid,none,B1::baseline,1.0
W0001,1.0,none,D2,B1,high_calcium,P1,19,standard,drug_pulse,B1::high_calcium,0.5483870967741935
W0002,1.0,none,D3,B1,baseline,P1,27,fatty_acid,drug_pulse,B1::baseline,1.0
W0003,1.0,none,D4,B1,baseline,P1,32,lactate_selection,drug_pulse,B1::baseline,1.0
W0004,1.0,none,D5,B1,ramp_pacing,P1,30,standard,none,B1::ramp_pacing,0.3870967741935484
W0005,1.0,none,D6,B1,high_calcium,P1,28,standard,electrical,B1::high_calcium,0.5483870967741935
W0006,1.0,none,D1,B1,high_calcium,P2,29,standard,none,B1::high_calcium,0.5483870967741935
W0007,1.0,none,D2,B1,baseline,P2,26,fatty_acid,drug_pulse,B1::baseline,1.0
W0008,1.0,none,D3,B1,baseline,P2,20,fatty_acid,none,B1::baseline,1.0
W0009,1.0,none,D4,B1,baseline,P2,30,fatty_acid,electrical,B1::baseline,1.0
W0010,1.0,none,D5,B1,ramp_pacing,P2,28,fatty_acid,electrical,B1::ramp_pacing,0.3870967741935484
W0011,1.0,none,D6,B1,high_calcium,P2,19,standard,drug_pulse,B1::high_calcium,0.5483870967741935
W0012,1.0,none,D1,B2,ramp_pacing,P3,31,standard,electrical,B2::ramp_pacing,0.5483870967741935
W0013,1.0,none,D2,B2,ramp_pacing,P3,32,fatty_acid,electrical,B2::ramp_pacing,0.5483870967741935
W0014,1.0,none,D3,B2,ramp_pacing,P3,21,standard,drug_pulse,B2::ramp_pacing,0.5483870967741935
W0015,1.0,none,D4,B2,baseline,P3,18,fatty_acid,drug_pulse,B2::baseline,0.4838709677419355
W0016,1.0,none,D5,B2,baseline,P3,24,lactate_selection,electrical,B2::baseline,0.4838709677419355
W0017,1.0,none,D6,B2,high_calcium,P3,23,standard,electrical,B2::high_calcium,0.9032258064516129
W0018,1.0,none,D1,B2,high_calcium,P4,32,fatty_acid,drug_pulse,B2::high_calcium,0.9032258064516129
W0019,1.0,none,D2,B2,high_calcium,P4,31,fatty_acid,electrical,B2::high_calcium,0.9032258064516129
W0020,1.0,none,D3,B2,high_calcium,P4,21,standard,none,B2::high_calcium,0.9032258064516129
W0021,1.0,none,D4,B2,ramp_pacing,P4,24,fatty_acid,none,B2::ramp_pacing,0.5483870967741935
W0022,1.0,none,D5,B2,high_calcium,P4,18,standard,electrical,B2::high_calcium,0.9032258064516129
W0023,1.0,none,D6,B2,high_calcium,P4,18,fatty_acid,none,B2::high_calcium,0.9032258064516129
W0024,1.0,none,D1,B3,baseline,P5,21,standard,none,B3::baseline,0.5483870967741935
W0025,1.0,none,D2,B3,ramp_pacing,P5,20,fatty_acid,none,B3::ramp_pacing,0.9032258064516129
W0026,1.0,none,D3,B3,ramp_pacing,P5,18,lactate_selection,none,B3::ramp_pacing,0.9032258064516129
W0027,1.0,none,D4,B3,ramp_pacing,P5,29,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0028,1.0,none,D5,B3,ramp_pacing,P5,24,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0029,1.0,none,D6,B3,high_calcium,P5,19,fatty_acid,none,B3::high_calcium,0.4838709677419355
W0030,1.0,none,D1,B3,baseline,P6,31,lactate_selection,electrical,B3::baseline,0.5483870967741935
W0031,1.0,none,D2,B3,baseline,P6,25,standard,drug_pulse,B3::baseline,0.5483870967741935
W0032,1.0,none,D3,B3,ramp_pacing,P6,26,standard,none,B3::ramp_pacing,0.9032258064516129
W0033,1.0,none,D4,B3,high_calcium,P6,18,fatty_acid,electrical,B3::high_calcium,0.4838709677419355
W0034,1.0,none,D5,B3,baseline,P6,21,standard,none,B3::baseline,0.5483870967741935
W0035,1.0,none,D6,B3,ramp_pacing,P6,22,standard,none,B3::ramp_pacing,0.9032258064516129
W0036,1.0,none,D1,B1,baseline,P1,31,standard,none,B1::baseline,1.0
W0037,1.0,none,D2,B1,baseline,P1,25,lactate_selection,none,B1::baseline,1.0
W0038,1.0,none,D3,B1,baseline,P1,24,lactate_selection,drug_pulse,B1::baseline,1.0
W0039,1.0,none,D4,B1,ramp_pacing,P1,24,fatty_acid,electrical,B1::ramp_pacing,0.3870967741935484
W0040,1.0,none,D5,B1,baseline,P1,24,standard,electrical,B1::baseline,1.0
W0041,1.0,none,D6,B1,ramp_pacing,P1,20,lactate_selection,electrical,B1::ramp_pacing,0.3870967741935484
W0042,1.0,none,D1,B1,baseline,P2,28,lactate_selection,drug_pulse,B1::baseline,1.0
W0043,1.0,none,D2,B1,baseline,P2,25,fatty_acid,none,B1::baseline,1.0
W0044,1.0,none,D3,B1,baseline,P2,20,fatty_acid,none,B1::baseline,1.0
W0045,1.0,none,D4,B1,baseline,P2,20,standard,none,B1::baseline,1.0
W0046,1.0,none,D5,B1,high_calcium,P2,26,standard,none,B1::high_calcium,0.5483870967741935
W0047,1.0,none,D6,B1,high_calcium,P2,20,fatty_acid,none,B1::high_calcium,0.5483870967741935
W0048,1.0,none,D1,B2,high_calcium,P3,28,standard,electrical,B2::high_calcium,0.9032258064516129
W0049,1.0,none,D2,B2,baseline,P3,22,lactate_selection,none,B2::baseline,0.4838709677419355
W0050,1.0,none,D3,B2,high_calcium,P3,22,standard,none,B2::high_calcium,0.9032258064516129
W0051,1.0,none,D4,B2,baseline,P3,32,fatty_acid,electrical,B2::baseline,0.4838709677419355
W0052,1.0,none,D5,B2,high_calcium,P3,22,lactate_selection,electrical,B2::high_calcium,0.9032258064516129
W0053,1.0,none,D6,B2,baseline,P3,27,lactate_selection,electrical,B2::baseline,0.4838709677419355
W0054,1.0,none,D1,B2,ramp_pacing,P4,21,fatty_acid,none,B2::ramp_pacing,0.5483870967741935
W0055,1.0,none,D2,B2,ramp_pacing,P4,20,standard,none,B2::ramp_pacing,0.5483870967741935
W0056,1.0,none,D3,B2,high_calcium,P4,25,fatty_acid,none,B2::high_calcium,0.9032258064516129
W0057,1.0,none,D4,B2,high_calcium,P4,20,lactate_selection,none,B2::high_calcium,0.9032258064516129
W0058,1.0,none,D5,B2,ramp_pacing,P4,26,standard,electrical,B2::ramp_pacing,0.5483870967741935
W0059,1.0,none,D6,B2,baseline,P4,19,fatty_acid,electrical,B2::baseline,0.4838709677419355
W0060,1.0,none,D1,B3,baseline,P5,26,fatty_acid,electrical,B3::baseline,0.5483870967741935
W0061,1.0,none,D2,B3,baseline,P5,33,lactate_selection,electrical,B3::baseline,0.5483870967741935
W0062,1.0,none,D3,B3,ramp_pacing,P5,21,fatty_acid,none,B3::ramp_pacing,0.9032258064516129
W0063,1.0,none,D4,B3,baseline,P5,23,standard,drug_pulse,B3::baseline,0.5483870967741935
W0064,1.0,none,D5,B3,ramp_pacing,P5,32,lactate_selection,none,B3::ramp_pacing,0.9032258064516129
W0065,1.0,none,D6,B3,ramp_pacing,P5,23,standard,electrical,B3::ramp_pacing,0.9032258064516129
W0066,1.0,none,D1,B3,high_calcium,P6,23,lactate_selection,none,B3::high_calcium,0.4838709677419355
W0067,1.0,none,D2,B3,high_calcium,P6,23,standard,drug_pulse,B3::high_calcium,0.4838709677419355
W0068,1.0,none,D3,B3,high_calcium,P6,32,fatty_acid,none,B3::high_calcium,0.4838709677419355
W0069,1.0,none,D4,B3,ramp_pacing,P6,28,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0070,1.0,none,D5,B3,ramp_pacing,P6,30,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0071,1.0,none,D6,B3,baseline,P6,26,fatty_acid,none,B3::baseline,0.5483870967741935
W0072,1.0,none,D1,B1,high_calcium,P1,32,fatty_acid,none,B1::high_calcium,0.5483870967741935
W0073,1.0,none,D2,B1,baseline,P1,27,lactate_selection,none,B1::baseline,1.0
W0074,1.0,none,D3,B1,baseline,P1,22,fatty_acid,none,B1::baseline,1.0
W0075,1.0,none,D4,B1,baseline,P1,29,fatty_acid,drug_pulse,B1::baseline,1.0
W0076,1.0,none,D5,B1,ramp_pacing,P1,30,fatty_acid,none,B1::ramp_pacing,0.3870967741935484
W0077,1.0,none,D6,B1,baseline,P1,33,fatty_acid,electrical,B1::baseline,1.0
W0078,1.0,none,D1,B1,ramp_pacing,P2,31,standard,drug_pulse,B1::ramp_pacing,0.3870967741935484
W0079,1.0,none,D2,B1,baseline,P2,24,lactate_selection,none,B1::baseline,1.0
W0080,1.0,none,D3,B1,high_calcium,P2,27,standard,none,B1::high_calcium,0.5483870967741935
W0081,1.0,none,D4,B1,ramp_pacing,P2,32,standard,electrical,B1::ramp_pacing,0.3870967741935484
W0082,1.0,none,D5,B1,baseline,P2,22,lactate_selection,electrical,B1::baseline,1.0
W0083,1.0,none,D6,B1,baseline,P2,19,standard,none,B1::baseline,1.0
W0084,1.0,none,D1,B2,high_calcium,P3,27,fatty_acid,none,B2::high_calcium,0.9032258064516129
W0085,1.0,none,D2,B2,high_calcium,P3,19,lactate_selection,electrical,B2::high_calcium,0.9032258064516129
W0086,1.0,none,D3,B2,high_calcium,P3,20,standard,none,B2::high_calcium,0.9032258064516129
W0087,1.0,none,D4,B2,high_calcium,P3,30,fatty_acid,none,B2::high_calcium,0.9032258064516129
W0088,1.0,none,D5,B2,ramp_pacing,P3,29,standard,electrical,B2::ramp_pacing,0.5483870967741935
W0089,1.0,none,D6,B2,baseline,P3,24,fatty_acid,none,B2::baseline,0.4838709677419355
W0090,1.0,none,D1,B2,ramp_pacing,P4,30,standard,electrical,B2::ramp_pacing,0.5483870967741935
W0091,1.0,none,D2,B2,ramp_pacing,P4,19,fatty_acid,none,B2::ramp_pacing,0.5483870967741935
W0092,1.0,none,D3,B2,baseline,P4,33,fatty_acid,electrical,B2::baseline,0.4838709677419355
W0093,1.0,none,D4,B2,ramp_pacing,P4,27,fatty_acid,electrical,B2::ramp_pacing,0.5483870967741935
W0094,1.0,none,D5,B2,ramp_pacing,P4,23,standard,none,B2::ramp_pacing,0.5483870967741935
W0095,1.0,none,D6,B2,high_calcium,P4,24,standard,none,B2::high_calcium,0.9032258064516129
W0096,1.0,none,D1,B3,ramp_pacing,P5,20,fatty_acid,electrical,B3::ramp_pacing,0.9032258064516129
W0097,1.0,none,D2,B3,ramp_pacing,P5,20,standard,electrical,B3::ramp_pacing,0.9032258064516129
W0098,1.0,none,D3,B3,baseline,P5,27,lactate_selection,none,B3::baseline,0.5483870967741935
W0099,1.0,none,D4,B3,ramp_pacing,P5,29,standard,drug_pulse,B3::ramp_pacing,0.9032258064516129
W0100,1.0,none,D5,B3,high_calcium,P5,24,standard,electrical,B3::high_calcium,0.4838709677419355
W0101,1.0,none,D6,B3,ramp_pacing,P5,28,lactate_selection,electrical,B3::ramp_pacing,0.9032258064516129
W0102,1.0,none,D1,B3,ramp_pacing,P6,27,standard,electrical,B3::ramp_pacing,0.9032258064516129
W0103,1.0,none,D2,B3,ramp_pacing,P6,32,lactate_selection,none,B3::ramp_pacing,0.9032258064516129
W0104,1.0,none,D3,B3,high_calcium,P6,33,lactate_selection,none,B3::high_calcium,0.4838709677419355
W0105,1.0,none,D4,B3,high_calcium,P6,23,lactate_selection,electrical,B3::high_calcium,0.4838709677419355
