feature_gene,panel,source_dataset,source_resolution,pseudo_bulk_auc,high_minus_low_delta,abs_high_minus_low_delta,n_groups,n_positive_groups
COX6A2,metabolic,GSE175634,sample pseudo-bulk scRNA,0.9590643274853801,0.1967027679560166,0.1967027679560166,28,9
PLN,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.9181286549707602,0.5510746474461381,0.5510746474461381,28,9
RYR2,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.8771929824561403,0.30113750425389574,0.30113750425389574,28,9
PDK4,metabolic,GSE175634,sample pseudo-bulk scRNA,0.8391812865497076,0.05407266568387039,0.05407266568387039,28,9
PPARGC1A,metabolic,GSE175634,sample pseudo-bulk scRNA,0.8333333333333334,0.17830711599945118,0.17830711599945118,28,9
CACNA1C,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.827485380116959,0.10908948747448555,0.10908948747448555,28,9
ATP2A2,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.8128654970760234,0.22255493957251565,0.22255493957251565,28,9
ACADVL,metabolic,GSE175634,sample pseudo-bulk scRNA,0.783625730994152,0.09890595757538342,0.09890595757538342,28,9
CASQ2,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.783625730994152,0.05937058715368075,0.05937058715368075,28,9
KCND3,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.7719298245614035,0.0359954835646565,0.0359954835646565,28,9
KCNQ1,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.7192982456140351,0.03333833547243138,0.03333833547243138,28,9
SLC25A4,metabolic,GSE175634,sample pseudo-bulk scRNA,0.7076023391812866,0.18385604288981017,0.18385604288981017,28,9
KCNH2,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.7017543859649122,0.047544071680283406,0.047544071680283406,28,9
CPT1B,metabolic,GSE175634,sample pseudo-bulk scRNA,0.6608187134502924,0.021774490772221204,0.021774490772221204,28,9
NDUFA4,metabolic,GSE175634,sample pseudo-bulk scRNA,0.47368421052631576,-0.04451825239442857,0.04451825239442857,28,9
CKMT2,metabolic,GSE175634,sample pseudo-bulk scRNA,0.3508771929824561,-0.07138639870624128,0.07138639870624128,28,9
SCN5A,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.30409356725146197,-0.00929723654231638,0.00929723654231638,28,9
HADHA,metabolic,GSE175634,sample pseudo-bulk scRNA,0.2807017543859649,-0.1195623133147974,0.1195623133147974,28,9
COX5A,metabolic,GSE175634,sample pseudo-bulk scRNA,0.21637426900584794,-0.30524384006316974,0.30524384006316974,28,9
GJA1,calcium_electrophysiology,GSE175634,sample pseudo-bulk scRNA,0.1286549707602339,-0.6005475992529445,0.6005475992529445,28,9
