feature_gene,feature_panel,independent_dataset,tf_module,tf,module_genes_used,n_module_genes_used,n_samples,pearson_r,pearson_p,spearman_r,spearman_p,regulon_expression_support
COX6A2,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;SLC25A4;CKMT2;PDK4,9,14,0.8931292041564545,1.7023528460779876e-05,0.9032967032967033,9.55865940105556e-06,True
COX5A,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX6A2;SLC25A4;CKMT2;PDK4,9,14,0.8808493859282035,3.1806628523781876e-05,0.8505494505494505,0.00011565615890988967,True
SCN5A,calcium_electrophysiology,GSE201437,GATA4_cardiac_program_module,GATA4,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,10,14,0.790096752789578,0.0007723472867688923,0.832967032967033,0.00021655091041647006,True
CKMT2,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;PDK4,9,14,0.8649177720101797,6.515223642582286e-05,0.8197802197802198,0.00033143695693539936,True
SLC25A4,metabolic,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.6910463204019728,0.00620286128840994,0.8109890109890111,0.00043221006490767964,True
SCN5A,calcium_electrophysiology,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.7735049022482501,0.0011726884360178066,0.7890109890109891,0.0007946144116544935,True
CACNA1C,calcium_electrophysiology,GSE201437,TBX5_electrophysiology_module,TBX5,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;RYR2;ATP2A2;PLN,8,14,0.7920504332153416,0.0007335408761967035,0.7846153846153847,0.000890073974907857,True
SCN5A,calcium_electrophysiology,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.6986159381402574,0.005444231017886264,0.7758241758241758,0.0011084786677787394,True
CPT1B,metabolic,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,0.7626002432896227,0.0015155193832512616,0.767032967032967,0.0013676823882456158,True
SLC25A4,metabolic,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.7621996847568678,0.001529480329152814,0.7494505494505495,0.0020301455491006475,True
NDUFA4,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,9,14,0.7783927267927547,0.0010406750490458156,0.745054945054945,0.002230037316742074,True
SLC25A4,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;CKMT2;PDK4,9,14,0.7921605407567036,0.0007314012229793785,0.7406593406593407,0.002445197640446023,True
ATP2A2,calcium_electrophysiology,GSE201437,TBX5_electrophysiology_module,TBX5,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;CACNA1C;RYR2;PLN,8,14,0.6671045483857387,0.009155015913982895,0.7362637362637363,0.0026764473596131958,True
ACADVL,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,9,14,0.6971960906352835,0.005580695079169972,0.7230769230769231,0.0034752946180943048,True
SCN5A,calcium_electrophysiology,GSE201437,NKX2_5_cardiac_identity_module,NKX2-5,NKX2-5;GATA4;TBX5;HAND2;ISL1;TNNT2;MYH6;MYH7;NPPA;NPPB,10,14,0.7537299070321914,0.0018494492437135018,0.7230769230769231,0.0034752946180943048,True
PLN,calcium_electrophysiology,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,10,14,0.764284735981452,0.0014579137260687775,0.7186813186813187,0.0037795799614122904,True
ATP2A2,calcium_electrophysiology,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,0.6778095671487869,0.00772477603549351,0.6835164835164835,0.007036743639884643,True
PPARGC1A,metabolic,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,9,14,0.5970354292905952,0.02418215220202512,0.6791208791208792,0.00756225703114548,True
PLN,calcium_electrophysiology,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.6352945285359003,0.014631371778330725,0.6747252747252748,0.008117706397553257,True
CASQ2,calcium_electrophysiology,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,-0.4836091315853275,0.07976998175299918,-0.665934065934066,0.009322999096841764,True
PLN,calcium_electrophysiology,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.5948536524484977,0.024840722315934795,0.6527472527472528,0.011384573997954192,True
RYR2,calcium_electrophysiology,GSE201437,TBX5_electrophysiology_module,TBX5,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;CACNA1C;ATP2A2;PLN,8,14,0.6106936781042268,0.020352705522074993,0.6527472527472528,0.011384573997954192,True
PPARGC1A,metabolic,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.5627792135832546,0.03615208241616856,0.6527472527472528,0.011384573997954192,True
COX5A,metabolic,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.6813723462632573,0.007289415893836065,0.6439560439560439,0.01294215255932295,True
CACNA1C,calcium_electrophysiology,GSE201437,NKX2_5_cardiac_identity_module,NKX2-5,NKX2-5;GATA4;TBX5;HAND2;ISL1;TNNT2;MYH6;MYH7;NPPA;NPPB,10,14,0.6423756521605268,0.013238636163081257,0.6263736263736264,0.01654193542887119,True
COX5A,metabolic,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.5706390433177809,0.03308453114905642,0.6263736263736264,0.01654193542887119,True
NDUFA4,metabolic,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.6866404348141762,0.006680841815691419,0.621978021978022,0.017550315290540023,True
PPARGC1A,metabolic,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.6355282505041618,0.014583690986980358,0.6131868131868132,0.01970633192603883,True
ACADVL,metabolic,GSE201437,GATA4_cardiac_program_module,GATA4,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,10,14,0.5770723443738888,0.03072096458881203,0.6087912087912088,0.02085661601722323,True
GJA1,calcium_electrophysiology,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,0.5517664712718897,0.040796978192379485,0.6,0.023308410879999998,True
COX6A2,metabolic,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.5944153942368482,0.024974616933196893,0.5912087912087912,0.025970813668962513,False
COX6A2,metabolic,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.6393814670204738,0.013814571056225126,0.5868131868131868,0.02738437553108773,False
SLC25A4,metabolic,GSE201437,GATA4_cardiac_program_module,GATA4,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,10,14,0.5518640558482065,0.04075398894297821,0.5780219780219781,0.030383014145237,False
CPT1B,metabolic,GSE201437,TBX5_electrophysiology_module,TBX5,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;CACNA1C;RYR2;ATP2A2;PLN,9,14,0.5700518914206013,0.033306768482372164,0.5692307692307692,0.03361941707727026,False
NDUFA4,metabolic,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.49888299663461194,0.0693752421862587,0.5692307692307692,0.03361941707727026,False
GJA1,calcium_electrophysiology,GSE201437,YAP_TEAD_proliferation_module,YAP/TEAD,TEAD1;TEAD2;YAP1;WWTR1;ANKRD1;MKI67;TOP2A;PCNA,8,14,-0.6774404274734018,0.007771010464297056,-0.5692307692307692,0.03361941707727026,False
CASQ2,calcium_electrophysiology,GSE201437,YAP_TEAD_proliferation_module,YAP/TEAD,TEAD1;TEAD2;YAP1;WWTR1;ANKRD1;MKI67;TOP2A;PCNA,8,14,0.43794637138290116,0.11729907753587578,0.5428571428571429,0.04486396643924867,False
COX6A2,metabolic,GSE201437,GATA4_cardiac_program_module,GATA4,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,10,14,0.47404355218060595,0.0868125710941836,0.5340659340659341,0.04915991637198507,False
SCN5A,calcium_electrophysiology,GSE201437,PGC1A_oxidative_metabolism_module,PPARGC1A/PGC-1A,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,10,14,0.5766723098787663,0.030864160509856367,0.5296703296703297,0.05141659813787072,False
ACADVL,metabolic,GSE201437,NKX2_5_cardiac_identity_module,NKX2-5,NKX2-5;GATA4;TBX5;HAND2;ISL1;TNNT2;MYH6;MYH7;NPPA;NPPB,10,14,0.6159626168912127,0.019005066537701176,0.5252747252747253,0.05374750176788302,False
RYR2,calcium_electrophysiology,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,0.3977210130149571,0.15904366594317126,0.5208791208791209,0.05615392734370263,False
KCNH2,calcium_electrophysiology,GSE201437,MEF2_contractile_module,MEF2,MYH6;MYH7;TNNT2;TNNI3;ACTN2;MYL2;MYL7;TTN;ATP2A2;RYR2,10,14,0.4684831997048057,0.09110056259684138,0.5164835164835165,0.058637163441278416,False
CKMT2,metabolic,GSE201437,YAP_TEAD_proliferation_module,YAP/TEAD,TEAD1;TEAD2;YAP1;WWTR1;ANKRD1;MKI67;TOP2A;PCNA,8,14,-0.558396357350538,0.03795122528361195,-0.5032967032967033,0.06656042759911303,False
KCNH2,calcium_electrophysiology,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.41561344686665636,0.13942579723083454,0.49890109890109896,0.0693635273971548,False
PLN,calcium_electrophysiology,GSE201437,GATA4_cardiac_program_module,GATA4,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,10,14,0.44882888327321935,0.10743793740016062,0.4813186813186813,0.08141829504280487,False
CACNA1C,calcium_electrophysiology,GSE201437,GATA4_cardiac_program_module,GATA4,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,10,14,0.5607272604899465,0.03698637685650775,0.4813186813186813,0.08141829504280487,False
ACADVL,metabolic,GSE201437,SRF_sarcomere_module,SRF,ACTN2;TNNT2;TNNI3;MYH6;MYH7;MYL2;MYL7;TTN;MYBPC3;TNNC1,10,14,0.5014662331579413,0.06771771470503302,0.4813186813186813,0.08141829504280487,False
PPARGC1A,metabolic,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,0.41971722143166046,0.13516578218994924,0.4769230769230769,0.0846484341946867,False
CKMT2,metabolic,GSE201437,HIF1A_glycolysis_stress_module,HIF1A,HIF1A;SLC2A1;LDHA;HK2;PDK1;PDK4;VEGFA;BNIP3,8,14,0.5478562798660527,0.0425470983661973,0.4769230769230769,0.0846484341946867,False
