feature_gene,feature_panel,gse175634_pseudobulk_auc,gse175634_high_minus_low_delta,independent_dataset,tf,top_tf_module,top_tf_module_spearman_r,top_tf_module_spearman_p,top_tf_module_pearson_r,module_genes_used,regulon_expression_support,motif_target_support,motif_target_overlap_genes,motif_target_fisher_p,virtual_cistrome_support,virtual_cistrome_dataset,virtual_cistrome_match,virtual_cistrome_support_score,direct_chip_or_atac_validation,mechanistic_support_count,mechanistic_status,interpretation
CACNA1C,calcium_electrophysiology,0.827485380116959,0.10908948747448555,GSE201437,TBX5,TBX5_electrophysiology_module,0.7846153846153847,0.000890073974907857,0.7920504332153416,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;RYR2;ATP2A2;PLN,True,True,ATP2A2;CACNA1C;KCNH2;KCNQ1;PLN;RYR2,0.006105511689604192,True,GSE77548,cross_species_cardiac_footprint,0.7,available_not_yet_run: GSE77548 cardiac ChIP-exo footprints; cross-species validation,3,three_channel_mechanistic_bridge,"CACNA1C has GSE175634 pseudo-bulk AUC 0.827 for the structural endpoint and correlates with TBX5_electrophysiology_module in independent GSE201437 RNA-seq (Spearman r=0.785, p=0.00089); motif-target support=yes; virtual-cistrome support=yes; status=three_channel_mechanistic_bridge."
ATP2A2,calcium_electrophysiology,0.8128654970760234,0.22255493957251565,GSE201437,TBX5,TBX5_electrophysiology_module,0.7362637362637363,0.0026764473596131958,0.6671045483857387,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;CACNA1C;RYR2;PLN,True,True,ATP2A2;CACNA1C;KCNH2;KCNQ1;PLN;RYR2,0.006105511689604192,True,GSE77548,cross_species_cardiac_footprint,0.7,available_not_yet_run: GSE77548 cardiac ChIP-exo footprints; cross-species validation,3,three_channel_mechanistic_bridge,"ATP2A2 has GSE175634 pseudo-bulk AUC 0.813 for the structural endpoint and correlates with TBX5_electrophysiology_module in independent GSE201437 RNA-seq (Spearman r=0.736, p=0.00268); motif-target support=yes; virtual-cistrome support=yes; status=three_channel_mechanistic_bridge."
RYR2,calcium_electrophysiology,0.8771929824561403,0.30113750425389574,GSE201437,TBX5,TBX5_electrophysiology_module,0.6527472527472528,0.011384573997954192,0.6106936781042268,TBX5;SCN5A;KCNQ1;KCNH2;GJA1;CACNA1C;ATP2A2;PLN,True,True,ATP2A2;CACNA1C;KCNH2;KCNQ1;PLN;RYR2,0.006105511689604192,True,GSE77548,cross_species_cardiac_footprint,0.7,available_not_yet_run: GSE77548 cardiac ChIP-exo footprints; cross-species validation,3,three_channel_mechanistic_bridge,"RYR2 has GSE175634 pseudo-bulk AUC 0.877 for the structural endpoint and correlates with TBX5_electrophysiology_module in independent GSE201437 RNA-seq (Spearman r=0.653, p=0.0114); motif-target support=yes; virtual-cistrome support=yes; status=three_channel_mechanistic_bridge."
COX6A2,metabolic,0.9590643274853801,0.1967027679560166,GSE201437,PPARGC1A/PGC-1A,PGC1A_oxidative_metabolism_module,0.9032967032967033,9.55865940105556e-06,0.8931292041564545,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;SLC25A4;CKMT2;PDK4,True,True,ACADVL;COX6A2;CPT1B;PDK4;PPARGC1A;SLC25A4,0.012986480962447637,False,not_found_in_current_inventory,missing,0.0,not_available_in_current_inventory,2,two_channel_mechanistic_bridge,"COX6A2 has GSE175634 pseudo-bulk AUC 0.959 for the structural endpoint and correlates with PGC1A_oxidative_metabolism_module in independent GSE201437 RNA-seq (Spearman r=0.903, p=9.56e-06); motif-target support=yes; virtual-cistrome support=no; status=two_channel_mechanistic_bridge."
SLC25A4,metabolic,0.7076023391812866,0.18385604288981017,GSE201437,PPARGC1A/PGC-1A,PGC1A_oxidative_metabolism_module,0.7406593406593407,0.002445197640446023,0.7921605407567036,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;CKMT2;PDK4,True,True,ACADVL;COX6A2;CPT1B;PDK4;PPARGC1A;SLC25A4,0.012986480962447637,False,not_found_in_current_inventory,missing,0.0,not_available_in_current_inventory,2,two_channel_mechanistic_bridge,"SLC25A4 has GSE175634 pseudo-bulk AUC 0.708 for the structural endpoint and correlates with PGC1A_oxidative_metabolism_module in independent GSE201437 RNA-seq (Spearman r=0.741, p=0.00245); motif-target support=yes; virtual-cistrome support=no; status=two_channel_mechanistic_bridge."
ACADVL,metabolic,0.783625730994152,0.09890595757538342,GSE201437,PPARGC1A/PGC-1A,PGC1A_oxidative_metabolism_module,0.7230769230769231,0.0034752946180943048,0.6971960906352835,PPARGC1A;CPT1B;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,True,True,ACADVL;COX6A2;CPT1B;PDK4;PPARGC1A;SLC25A4,0.012986480962447637,False,not_found_in_current_inventory,missing,0.0,not_available_in_current_inventory,2,two_channel_mechanistic_bridge,"ACADVL has GSE175634 pseudo-bulk AUC 0.784 for the structural endpoint and correlates with PGC1A_oxidative_metabolism_module in independent GSE201437 RNA-seq (Spearman r=0.723, p=0.00348); motif-target support=yes; virtual-cistrome support=no; status=two_channel_mechanistic_bridge."
PLN,calcium_electrophysiology,0.9181286549707602,0.5510746474461381,GSE201437,PPARGC1A/PGC-1A,PGC1A_oxidative_metabolism_module,0.7186813186813187,0.0037795799614122904,0.764284735981452,PPARGC1A;CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,True,True,ACADVL;COX6A2;CPT1B;PDK4;PPARGC1A;SLC25A4,0.012986480962447637,False,not_found_in_current_inventory,missing,0.0,not_available_in_current_inventory,2,two_channel_mechanistic_bridge,"PLN has GSE175634 pseudo-bulk AUC 0.918 for the structural endpoint and correlates with PGC1A_oxidative_metabolism_module in independent GSE201437 RNA-seq (Spearman r=0.719, p=0.00378); motif-target support=yes; virtual-cistrome support=no; status=two_channel_mechanistic_bridge."
PPARGC1A,metabolic,0.8333333333333334,0.17830711599945118,GSE201437,PPARGC1A/PGC-1A,PGC1A_oxidative_metabolism_module,0.6791208791208792,0.00756225703114548,0.5970354292905952,CPT1B;ACADVL;HADHA;NDUFA4;COX5A;COX6A2;SLC25A4;CKMT2;PDK4,True,True,ACADVL;COX6A2;CPT1B;PDK4;PPARGC1A;SLC25A4,0.012986480962447637,False,not_found_in_current_inventory,missing,0.0,not_available_in_current_inventory,2,two_channel_mechanistic_bridge,"PPARGC1A has GSE175634 pseudo-bulk AUC 0.833 for the structural endpoint and correlates with PGC1A_oxidative_metabolism_module in independent GSE201437 RNA-seq (Spearman r=0.679, p=0.00756); motif-target support=yes; virtual-cistrome support=no; status=two_channel_mechanistic_bridge."
CACNA1C,calcium_electrophysiology,0.827485380116959,0.10908948747448555,GSE201437,NKX2-5,NKX2_5_cardiac_identity_module,0.6263736263736264,0.01654193542887119,0.6423756521605268,NKX2-5;GATA4;TBX5;HAND2;ISL1;TNNT2;MYH6;MYH7;NPPA;NPPB,True,False,,1.0,True,GSE133833,direct_human_ipsc_cm,1.0,available_not_yet_run: GSE133833 matched human iPSC-CM RNA-seq/ATAC/NKX2-5 ChIP-seq,2,two_channel_mechanistic_bridge,"CACNA1C has GSE175634 pseudo-bulk AUC 0.827 for the structural endpoint and correlates with NKX2_5_cardiac_identity_module in independent GSE201437 RNA-seq (Spearman r=0.626, p=0.0165); motif-target support=no; virtual-cistrome support=yes; status=two_channel_mechanistic_bridge."
ACADVL,metabolic,0.783625730994152,0.09890595757538342,GSE201437,GATA4,GATA4_cardiac_program_module,0.6087912087912088,0.02085661601722323,0.5770723443738888,GATA4;NKX2-5;TBX5;HAND2;TNNT2;MYH6;MYH7;MYL2;NPPA;NPPB,True,False,,1.0,True,GSE77548,cross_species_cardiac_footprint,0.7,available_not_yet_run: GSE77548 cardiac ChIP-exo footprints; cross-species validation,2,two_channel_mechanistic_bridge,"ACADVL has GSE175634 pseudo-bulk AUC 0.784 for the structural endpoint and correlates with GATA4_cardiac_program_module in independent GSE201437 RNA-seq (Spearman r=0.609, p=0.0209); motif-target support=no; virtual-cistrome support=yes; status=two_channel_mechanistic_bridge."
