horizon_h,score,auc,n,n_positive
6,mlp_probe_valid_score,0.7798132604975032,2645,136
6,mlp_probe_leaky_score,0.9840310177478724,2645,136
6,mlp_probe_valid_score_oracle_mix_1pct,0.7813078798677702,2645,136
6,mlp_probe_valid_score_oracle_mix_5pct,0.7874006517712704,2645,136
6,mlp_probe_valid_score_oracle_mix_10pct,0.7956650177009823,2645,136
6,oracle_leakage_ceiling_score,1.0,2645,136
6,rf_valid_score,0.8033960096593439,2645,136
6,rf_valid_score_oracle_mix_1pct,0.8077450589641995,2645,136
6,rf_valid_score_oracle_mix_5pct,0.8179436381966098,2645,136
6,rf_valid_score_oracle_mix_10pct,0.8372476730827842,2645,136
6,rf_future_leaky_score,0.9982592080275714,2645,136
6,histgb_valid_score,0.8622254003235411,2645,136
6,histgb_valid_score_oracle_mix_1pct,0.8720986800459523,2645,136
6,histgb_valid_score_oracle_mix_5pct,0.9022958525777788,2645,136
6,histgb_valid_score_oracle_mix_10pct,0.9237275220969215,2645,136
6,histgb_future_leaky_score,1.0,2645,136
6,xgb_valid_score,0.8406032401003446,2645,136
6,xgb_valid_score_oracle_mix_1pct,0.8425228002719621,2645,136
6,xgb_valid_score_oracle_mix_5pct,0.8489057041708672,2645,136
6,xgb_valid_score_oracle_mix_10pct,0.8548636672684219,2645,136
6,xgb_future_leaky_score,1.0,2645,136
6,lstm_valid_score,0.690710501019858,2645,136
6,lstm_future_leaky_score,0.6872787377206762,2645,136
6,lstm_valid_score_oracle_mix_1pct,0.6940777905422831,2645,136
6,lstm_valid_score_oracle_mix_5pct,0.7072538860103627,2645,136
6,lstm_valid_score_oracle_mix_10pct,0.7248171289241085,2645,136
6,lstm_hidden_probe_score,0.6696334372728764,2645,136
6,lstm_future_hidden_probe_score,0.6908277260685063,2645,136
6,gru_valid_score,0.6732644831547605,2645,136
6,gru_future_leaky_score,0.6730798537031393,2645,136
6,gru_valid_score_oracle_mix_1pct,0.6768164021288068,2645,136
6,gru_valid_score_oracle_mix_5pct,0.691618995146883,2645,136
6,gru_valid_score_oracle_mix_10pct,0.7109962956884628,2645,136
6,transformer_valid_score,0.668522729936933,2645,136
