horizon_h,bin_key,n,n_low,n_high,manifest_rate_low,manifest_rate_high,delta_high_minus_low
6,"(0, 0.0, 0.0, 0, 0.0)",35,8,27,0.0,0.07407407407407407,0.07407407407407407
6,"(0, 0.0, 0.0, 0, 1.0)",31,9,22,0.0,0.0,0.0
6,"(0, 0.0, 0.0, 1, 0.0)",43,31,12,0.0,0.0,0.0
6,"(0, 0.0, 0.0, 1, 1.0)",28,19,9,0.0,0.0,0.0
6,"(0, 0.0, 0.0, 1, 2.0)",18,6,12,0.0,0.0,0.0
6,"(0, 0.0, 0.0, 2, 0.0)",24,17,7,0.0,0.14285714285714285,0.14285714285714285
6,"(0, 0.0, 0.0, 2, 1.0)",20,12,8,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 0, 0.0)",27,13,14,0.0,0.07142857142857142,0.07142857142857142
6,"(0, 0.0, 1.0, 0, 1.0)",23,16,7,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 0, 2.0)",17,5,12,0.0,0.16666666666666666,0.16666666666666666
6,"(0, 0.0, 1.0, 1, 1.0)",20,17,3,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 1, 2.0)",17,10,7,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 2, 0.0)",15,12,3,0.0,0.0,0.0
6,"(0, 0.0, 1.0, 2, 2.0)",16,10,6,0.0,0.0,0.0
6,"(0, 0.0, 2.0, 0, 0.0)",17,6,11,0.0,0.0,0.0
6,"(0, 0.0, 2.0, 0, 1.0)",24,7,17,0.14285714285714285,0.11764705882352941,-0.02521008403361344
6,"(0, 0.0, 2.0, 1, 2.0)",14,6,8,0.0,0.125,0.125
6,"(0, 0.0, 2.0, 2, 2.0)",9,5,4,0.0,0.0,0.0
6,"(0, 1.0, 0.0, 0, 0.0)",34,11,23,0.0,0.13043478260869565,0.13043478260869565
6,"(0, 1.0, 0.0, 0, 1.0)",31,12,19,0.0,0.05263157894736842,0.05263157894736842
6,"(0, 1.0, 0.0, 0, 2.0)",23,3,20,0.0,0.0,0.0
6,"(0, 1.0, 0.0, 1, 0.0)",31,27,4,0.0,0.0,0.0
6,"(0, 1.0, 0.0, 1, 1.0)",24,19,5,0.0,0.0,0.0
6,"(0, 1.0, 0.0, 1, 2.0)",12,4,8,0.0,0.125,0.125
6,"(0, 1.0, 0.0, 2, 0.0)",33,24,9,0.0,0.0,0.0
6,"(0, 1.0, 0.0, 2, 1.0)",17,13,4,0.15384615384615385,0.0,-0.15384615384615385
6,"(0, 1.0, 0.0, 2, 2.0)",13,3,10,0.0,0.1,0.1
6,"(0, 1.0, 1.0, 0, 0.0)",29,19,10,0.0,0.2,0.2
6,"(0, 1.0, 1.0, 0, 1.0)",23,12,11,0.0,0.09090909090909091,0.09090909090909091
6,"(0, 1.0, 1.0, 0, 2.0)",18,6,12,0.0,0.08333333333333333,0.08333333333333333
6,"(0, 1.0, 1.0, 1, 1.0)",21,18,3,0.0,0.0,0.0
6,"(0, 1.0, 2.0, 0, 0.0)",20,10,10,0.0,0.0,0.0
6,"(0, 1.0, 2.0, 0, 1.0)",17,9,8,0.0,0.0,0.0
6,"(0, 1.0, 2.0, 1, 1.0)",21,18,3,0.05555555555555555,0.3333333333333333,0.2777777777777778
6,"(0, 1.0, 2.0, 2, 2.0)",8,5,3,0.0,0.3333333333333333,0.3333333333333333
6,"(0, 2.0, 0.0, 0, 0.0)",42,14,28,0.07142857142857142,0.07142857142857142,0.0
6,"(0, 2.0, 0.0, 0, 1.0)",29,7,22,0.14285714285714285,0.0,-0.14285714285714285
6,"(0, 2.0, 0.0, 1, 0.0)",36,25,11,0.0,0.09090909090909091,0.09090909090909091
6,"(0, 2.0, 0.0, 1, 1.0)",27,16,11,0.0,0.0,0.0
6,"(0, 2.0, 0.0, 1, 2.0)",16,8,8,0.25,0.125,-0.125
6,"(0, 2.0, 0.0, 2, 0.0)",50,37,13,0.0,0.23076923076923078,0.23076923076923078
6,"(0, 2.0, 0.0, 2, 1.0)",19,11,8,0.0,0.0,0.0
6,"(0, 2.0, 0.0, 2, 2.0)",8,3,5,0.6666666666666666,0.0,-0.6666666666666666
6,"(0, 2.0, 1.0, 0, 0.0)",24,15,9,0.0,0.0,0.0
6,"(0, 2.0, 1.0, 0, 1.0)",18,10,8,0.0,0.125,0.125
6,"(0, 2.0, 1.0, 0, 2.0)",10,3,7,0.0,0.0,0.0
6,"(0, 2.0, 1.0, 2, 0.0)",35,32,3,0.0,0.0,0.0
6,"(0, 2.0, 1.0, 2, 1.0)",26,21,5,0.0,0.0,0.0
6,"(0, 2.0, 1.0, 2, 2.0)",13,8,5,0.125,0.0,-0.125
6,"(0, 2.0, 2.0, 0, 0.0)",30,13,17,0.07692307692307693,0.11764705882352941,0.04072398190045248
6,"(0, 2.0, 2.0, 0, 2.0)",11,4,7,0.25,0.0,-0.25
6,"(0, 2.0, 2.0, 1, 0.0)",17,10,7,0.3,0.14285714285714285,-0.15714285714285714
6,"(0, 2.0, 2.0, 1, 2.0)",10,7,3,0.0,0.3333333333333333,0.3333333333333333
6,"(0, 2.0, 2.0, 2, 0.0)",10,7,3,0.14285714285714285,0.0,-0.14285714285714285
6,"(0, 2.0, 2.0, 2, 2.0)",11,4,7,0.0,0.14285714285714285,0.14285714285714285
6,"(1, 0.0, 0.0, 1, 0.0)",13,6,7,0.0,0.14285714285714285,0.14285714285714285
6,"(1, 0.0, 0.0, 1, 1.0)",15,11,4,0.0,0.0,0.0
6,"(1, 0.0, 0.0, 1, 2.0)",18,7,11,0.0,0.09090909090909091,0.09090909090909091
6,"(1, 0.0, 0.0, 2, 0.0)",17,13,4,0.0,0.0,0.0
6,"(1, 0.0, 0.0, 2, 1.0)",18,11,7,0.0,0.0,0.0
6,"(1, 0.0, 0.0, 2, 2.0)",20,3,17,0.0,0.0,0.0
6,"(1, 0.0, 1.0, 0, 0.0)",11,4,7,0.0,0.0,0.0
6,"(1, 0.0, 1.0, 0, 1.0)",19,13,6,0.07692307692307693,0.0,-0.07692307692307693
6,"(1, 0.0, 1.0, 0, 2.0)",19,3,16,0.0,0.1875,0.1875
6,"(1, 0.0, 1.0, 1, 0.0)",30,27,3,0.037037037037037035,0.0,-0.037037037037037035
6,"(1, 0.0, 1.0, 1, 1.0)",24,21,3,0.0,0.0,0.0
