horizon_h,score,auc,n,n_positive
6,mlp_early_score,0.7913401826194074,1705,98
6,gb_early_score,0.9615711872801392,1705,98
6,linear_sequence_score,0.8338074495510711,1705,98
6,mlp_hidden_probe_score,0.7908829991237317,1705,98
6,mlp_future_leak_score,0.7675793403858121,1705,98
6,gb_future_leak_score,0.9484938343725792,1705,98
6,mlp_oracle_mix_score,0.9836620398003633,1705,98
6,mlp_hidden_oracle_probe_score,0.9741183343281308,1705,98
12,mlp_early_score,0.8187283314072361,1691,84
12,gb_early_score,0.9981590956233146,1691,84
12,linear_sequence_score,0.9944735828369929,1691,84
12,mlp_hidden_probe_score,0.8288699736272852,1691,84
12,mlp_future_leak_score,0.8248955462707797,1691,84
12,gb_future_leak_score,0.9988332296204107,1691,84
12,mlp_oracle_mix_score,0.9858728183245918,1691,84
12,mlp_hidden_oracle_probe_score,0.9798574688120426,1691,84
18,mlp_early_score,0.9239395353661066,1679,72
18,gb_early_score,0.9985782686856115,1679,72
18,linear_sequence_score,0.998988799004356,1679,72
18,mlp_hidden_probe_score,0.9323748530733595,1679,72
18,mlp_future_leak_score,0.9077905690382356,1679,72
18,gb_future_leak_score,0.9993215446311278,1679,72
18,mlp_oracle_mix_score,0.998954228030146,1679,72
18,mlp_hidden_oracle_probe_score,0.99831466500726,1679,72
